Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Document Type,Publication Stage,Open Access,Source,EID
Bereczkei T.; Deák A.; Papp P.; Perlaki G.; Orsi G.,"Bereczkei, Tamás (6602173736); Deák, Anita (55641508600); Papp, Péter (55641820900); Perlaki, Gábor (26032297300); Orsi, Gergely (35746989600)",6602173736; 55641508600; 55641820900; 26032297300; 35746989600,The machiavellianists: Skilled decision makers. Neural correlates of cognitive heuristics in a social dilemma dilemma situation; [A machiavellisták: Ügyes döntéshozók. Kognitív heurisztikák agyi korrelátumai társasdilemma-feladatban],2014,Magyar Pszichologiai Szemle,69,2,,337,362,25,0,10.1556/MPSzle.69.2014.2.3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939609057&doi=10.1556%2fMPSzle.69.2014.2.3&partnerID=40&md5=949e3749cdf095de7272e1d43e52a3db,"Machiavellians successfully exploit others in spite of their deficits in social cognition, especially in mindreading ability. Former studies have revealed that they are highly sensitive to signals in a social dilemma situation and capable of making flexible decisions in the changing contexts. The question is, what cognitive abilities and their neural correlates are involved in Machiavellian people's decision making processes? We predicted that high-Mach persons would show elevated activity in the brain areas involved in reward-seeking, anticipation of risky situations, and inference making. To test this hypothesis, we used an fMRI technique to examine individuals as they played the Trust game. In accordance with predictions, elevated activities were found in the high Machs' thalamus, anterior cingu-late cortex, and dorsal anterior insula/inferior frontal gyrus. These results suggest that in spite of their poor performance in mentalization and emotional intelligence, Machiavellians may have cognitive heuristics by which they can make quick and accurate decisions using relatively little information about contextual variables of the social environment. Their success in exploiting others may result from their skill at inferring possible actions from the others' behavior and anticipating reward and threat to their self-interest that may yield a relatively large final payoff for them.",ACC; FMRI; Frontal gyrus; Manipulative behavior; Thalamus; Trust game,,,Article,Final,,Scopus,2-s2.0-84939609057
Möller M.; Gerstmann H.; Gao F.; Dahms T.C.; Förster M.,"Möller, Markus (15762914300); Gerstmann, Henning (56422232000); Gao, Feng (56486548700); Dahms, Thorsten Christian (57190568320); Förster, Michael (55533645800)",15762914300; 56422232000; 56486548700; 57190568320; 55533645800,Coupling of phenological information and simulated vegetation index time series: Limitations and potentials for the assessment and monitoring of soil erosion risk,2017,Catena,150,,,192,205,13,41,10.1016/j.catena.2016.11.016,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84998717652&doi=10.1016%2fj.catena.2016.11.016&partnerID=40&md5=e520c1a8000af416fd4bcf09d516c539,"Monitoring of soils used for agriculture at frequent intervals is crucial to support decision making and refining soil policies especially in the context of climate change. Along with rainfall erosivity, soil coverage by vegetation or crop residues is the most dynamic factor affecting soil erosion. Parcel-specific soil coverage information can be derived by satellite imagery with high geometric resolution. However, their usable number is mostly, due to cloud cover, not representative for the phenological characteristics of vegetated classes. To overcome temporal constraints, spatial and temporal fusion models, such as STARFM, are increasingly applied to derive high-resolution time series of remotely sensed biophysical parameters, based on fine spatial/coarse temporal resolution imagery, such as Landsat, and coarse spatial/fine temporal resolution imagery, such as MODIS. In this context, the current study introduces an evaluation scheme for simulated vegetation index time series which enables the assessment of their performance during multiple phenological phases. The evaluation scheme is based on Germany-wide available spatial predictions of phenological phases as well as RapidEye imagery and parcel-specific crop-type information. The evaluation results show that the simulation accuracy is basically controlled by the temporal distance between MODIS and Landsat base pairs, as well as the ability of the actual Landsat image to properly represent the phenological phase of the Landsat image simulated by MODIS. In addition, we discuss the potential of simulated index times series and corresponding phenological information for the dynamic (1) definition of temporal windows where soils are potentially covered by no, sparse or dense vegetation or crop residues and (2) parameterization of soil erosion models. The database thus obtained opens up new possibilities for an efficient and dynamic erosion monitoring, which can support soil protection and hazard prevention. © 2016 Elsevier B.V.",Monitoring; NDVI; Phenology; Soil cover; Soil erosion; STARFM,,"German Ministry of Economics and Energy; Deutsches Zentrum für Luft- und Raumfahrt, DLR, (50 EE 1230, 50 EE 1262)",Article,Final,,Scopus,2-s2.0-84998717652
Malik M.S.I.; Hussain A.,"Malik, M.S.I. (42262198500); Hussain, Ayyaz (59685306000)",42262198500; 59685306000,Helpfulness of product reviews as a function of discrete positive and negative emotions,2017,Computers in Human Behavior,73,,,290,302,12,144,10.1016/j.chb.2017.03.053,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016495518&doi=10.1016%2fj.chb.2017.03.053&partnerID=40&md5=b9ed28eedf6177c6ae3d30d4334edc39,"The product review plays an important role in customer's purchase decision making process on the e-commerce websites. Emotions can significantly influence the way that reviews are processed. The importance of discrete emotions embedded in online reviews and their impact on review helpfulness is not explored intensively in prior studies. This study builds a helpfulness predictive model using deep neural network and investigates the influences of emotions that contribute to review helpfulness. We present an approach that extract novel discrete positive and negative emotion features from textual content of product reviews using NRC emotion Lexicon. In addition, the type of product, reviewer, visibility, readability, linguistics and sentiment related characteristics are also used for comparison and helpfulness prediction. The experimental results on two real-life datasets demonstrate that positive emotion features are the best predictors when individual category of feature is considered. However, negative emotion features and visibility features have comparable performance. Furthermore, the hybrid set of features with positive emotion features produce the best predictive performance for helpfulness of online reviews. The empirical evaluation finds that Trust, Joy and Anticipation (positive emotions); Anxiety and Sadness (negative emotions) are most influential emotion dimensions and have greater impact on perceived helpfulness. The findings of this study highlight the importance of emotions in online reviews and have significant implications for consumer and e-commerce retailers. © 2017 Elsevier Ltd",Amazon reviews; Discrete emotions; Linguistic; Review helpfulness; Search products; Trust emotion; Word of mouth,Commerce; Decision making; Deep neural networks; Electronic commerce; Linguistics; Sales; Visibility; Discrete emotions; Empirical evaluations; Positive and negative emotions; Predictive modeling; Predictive performance; Search products; Trust emotion; Word of mouth; anxiety; clinical study; consumer; cooperation; experimental model; extract; human; linguistics; nervous system; prediction; sadness; trust; visibility; Behavioral research,Deep Neural Network,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85016495518
Hamama-Raz Y.; Ginossar-David E.; Ben-Ezra M.,"Hamama-Raz, Yaira (19535116000); Ginossar-David, Eyal (57192100695); Ben-Ezra, Menachem (6603955727)",19535116000; 57192100695; 6603955727,"Parental regret regarding children's vaccines-The correlation between anticipated regret, altruism, coping strategies and attitudes toward vaccines",2016,Israel Journal of Health Policy Research,5,1,55,,,,7,10.1186/s13584-016-0116-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997132397&doi=10.1186%2fs13584-016-0116-1&partnerID=40&md5=6801e1467c51269bcb17d44d7f986946,"Background: Parental hesitancy for recommended childhood vaccines is a growing public health concern influenced by various factors. This study aimed to explore regret regarding parental decisions to vaccinate their children via possible correlations between anticipated regret, altruism, coping strategies, and parents' attitudes toward the vaccination of their children. Methods: The study was conducted during 2014 in Israel. Data were collected via snowballing methodology (i.e., Internet forums, Facebook and e- mails). 314 parents of children ages 0-6 years participated in the study. Questionnaires were distributed and completed on-line including attitudes toward vaccines, altruism, coping strategies, regret and anticipated regret. Results: Pearson analysis revealed a moderate negative association between attitudes toward vaccinations and regret. In addition, weak but significant positive associations emerged between anticipated regret and regret as well as between gender and regret. Performing hierarchical regression analysis revealed contribution of 35.9 % to the explained variance of regret suggesting that coping strategy of instrumental support, attitudes toward vaccinations and anticipated regret are linked significantly to regret. Conclusion: Parental attitudes toward vaccines and anticipated regret have a salient role when deciding whether or not to vaccinate children and contribute to the prediction of regret regarding vaccination. In order to increase parental consent to vaccination of their children, it is important to minimize possible regret through the strength of the recommendation and/or knowledge base about risk/benefit (perceived, heuristic) of vaccines that might influence parental attitudes and lessen their anticipated regret. Trial registration: N/A. This is not a clinical trial and thus does not require registration. Ethics approval was received from Ariel University School of Social Work Ethics committee (18/02/14). This was an attitude survey. The Ariel University School of Social Work Ethics committee approved performance of this attitude survey (18/02/14). © 2016 The Author(s).",Altruism; Anticipated regret; Attitudes toward vaccines; Coping strategies; Regret,"Adaptation, Psychological; Adult; Child, Preschool; Choice Behavior; Female; Health Knowledge, Attitudes, Practice; Humans; Infant; Israel; Male; Parents; Regression Analysis; Surveys and Questionnaires; Vaccination; diphtheria pertussis poliomyelitis tetanus Haemophilus influenzae type b hepatitis B vaccine; vaccine; adult; altruism; anticipation; Article; assessment of humans; Attitudes toward Vaccination scale; COPE scale; coping behavior; Decision Regret scale; female; human; immunization; Likert scale; male; parental attitude; priority journal; questionnaire; self report; vaccination; attitude to health; decision making; infant; Israel; parent; preschool child; psychology; regression analysis; vaccination",,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-84997132397
Rautela P.,"Rautela, Piyoosh (8507690600)",8507690600,Lack of scientific recordkeeping of disaster incidences: A big hurdle in disaster risk reduction in India,2016,International Journal of Disaster Risk Reduction,15,,,73,79,6,17,10.1016/j.ijdrr.2015.12.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952922944&doi=10.1016%2fj.ijdrr.2015.12.005&partnerID=40&md5=d713497ccc02cae9784f7c4c1f0f0623,"Despite enhanced awareness on various disaster management related issues and mounting disaster induced losses disaster risk reduction is far from getting its due share of attention and resources, particularly in India. This is attributed to (i) departmental inertia, (ii) lacking political foresight and will, (iii) fragmented decision-making authority, (iv) lacking techno-legal regime and non-compliance of what exists, (v) lack of capacity building, (vi) unawareness of the mass, (vii) lacking risk assessment and communication, (viii) missing locally relevant data and examples, and (ix) lack of objective and uniform disaster database. Based upon in depth analysis of the present situation recommended road map for DRR inclusive development includes (i) enhanced focus on mass awareness to ensure voluntary compliance and to do away with political apathy, (ii) comprehensive hazard, vulnerability and risk assessment and communication, (iii) enhanced investment on research and development related to disaster resilient technology and improvising traditional DRR practices, (iv) enhanced investment on capacity building, (v) invoking DRR compliant techno-legal regime and putting in place mechanism for its compliance, (vi) NDMA and SDMA to be provided authority to issue binding guidelines, (vii) institutional mechanism for collecting precise and objective data relating to disaster induced losses. Action on the suggested points is envisaged to streamline DRR interventions in India and help in bringing forth resilience amongst communities. © 2015 Elsevier Ltd.",Adaptation; Climate change; Disaster risk reduction; India,,,Article,Final,,Scopus,2-s2.0-84952922944
Semenza J.C.; Rocklöv J.; Penttinen P.; Lindgren E.,"Semenza, Jan C. (6603967387); Rocklöv, Joacim (18038015300); Penttinen, Pasi (6602559170); Lindgren, Elisabet (7005787685)",6603967387; 18038015300; 6602559170; 7005787685,Observed and projected drivers of emerging infectious diseases in Europe,2016,Annals of the New York Academy of Sciences,1382,1,,73,83,10,32,10.1111/nyas.13132,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014679140&doi=10.1111%2fnyas.13132&partnerID=40&md5=5f441a4c0a2cf4856e703d0805f0228a,"Emerging infectious diseases are of international concern because of the potential for, and impact of, pandemics; however, they are difficult to predict. To identify the drivers of disease emergence, we analyzed infectious disease threat events (IDTEs) detected through epidemic intelligence collected at the European Centre for Disease Prevention and Control (ECDC) between 2008 and 2013, and compared the observed results with a 2008 ECDC foresight study of projected drivers of future IDTEs in Europe. Among 10 categories of IDTEs, foodborne and waterborne IDTEs were the most common, vaccine-preventable IDTEs caused the highest number of cases, and airborne IDTEs caused the most deaths. Observed drivers for each IDTE were sorted into three main groups: globalization and environmental drivers contributed to 61% of all IDTEs, publichealth system drivers contributed to 21%, and social and demographic drivers to 18%. A multiple logistic regression analysis showed that four of the top five drivers for observed IDTEs were in the globalization and environment group. In the observational study, the globalization and environment group was related to all IDTE categories, but only to five of eight categories in the foresight study. Directly targeting these drivers with public health interventions may diminish the chances of IDTE occurrence from the outset. © 2016 New York Academy of Sciences.",Drivers; Epidemic; Infectious diseases; Pandemic; Threat,"Animals; Communicable Diseases; Communicable Diseases, Emerging; Disease Outbreaks; Environmental Exposure; Europe; Forecasting; Humans; Internationality; Pandemics; Public Health; Article; climate; commercial phenomena; communicable disease; disease transmission; environment; epidemic; Europe; food quality; high risk population; infection; public health; risk assessment; risk factor; urbanization; water quality; animal; Communicable Diseases; Communicable Diseases, Emerging; Disease Outbreaks; environmental exposure; forecasting; human; international cooperation; Pandemics; prevention and control; statistics and numerical data; transmission; trends",,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85014679140
Anthony Swaim J.; Maloni M.J.; Henley A.; Campbell S.,"Anthony Swaim, James (55845140000); Maloni, Michael J. (6506672104); Henley, Amy (7003706779); Campbell, Stacy (24757866400)",55845140000; 6506672104; 7003706779; 24757866400,Motivational influences on supply manager environmental sustainability behavior,2016,Supply Chain Management,21,3,,305,320,15,47,10.1108/SCM-07-2015-0283,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982938297&doi=10.1108%2fSCM-07-2015-0283&partnerID=40&md5=c359008f0a5424edee0d426def6ce78f,"Purpose: Although supply chain managers serve a central role when implementing corporate environmental sustainability objectives, existing literature does not demonstrate high levels of supply manager support for such initiatives. This paper aims to investigate the potential of individual behavioral influences to explain supply manager orientation toward environmental responsibility. Methodology/approach: This paper constructs a research model based on the theory of planned behavior (TPB) to explore how personal environmental motivations influence supply manager environmental behavior in the workplace. This paper also incorporates hyperbolic discounting as a cognitive bias moderator in the model. The research hypotheses were tested with regression of survey data of practicing supply managers in the USA. Findings: Support was found for the direct TPB hypotheses, revealing the importance of an individual’s personal attitude, subjective norm and perceived behavioral control on interpreting and applying the organization’s environmental sustainability objectives. Although the interactive effect of hyperbolic discounting as a cognitive bias was not supported, a direct effect was found. Practical implications: The findings can help organizations improve supply manager support for sustainability initiatives. Originality/value: Prior supply chain sustainability research has examined drivers and barriers at political, legal, economical and overall firm levels. This study expands this research base by investigating individual-level barriers and drivers related to personal responsibility for environmental sustainability. As a second contribution, integration of cognitive biases in the TPB has been understudied in existing literature. © 2016, © Emerald Group Publishing Limited.",Decision making; Environmental management; Organizational behaviour; Sustainability,,,Article,Final,,Scopus,2-s2.0-84982938297
Jahns L.; Roemmich J.N.,"Jahns, Lisa (6603135085); Roemmich, James N. (7003334703)",6603135085; 7003334703,Study design for a randomized controlled trial to increase the relative reinforcing value of vegetable consumption using incentive sensitization among obese and overweight people,2016,Contemporary Clinical Trials,50,,,186,192,6,8,10.1016/j.cct.2016.08.011,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984618848&doi=10.1016%2fj.cct.2016.08.011&partnerID=40&md5=314bd66dead9b8391bac2d81b1c456bc,"In this manuscript, we present the protocol for a study that applies incentive sensitization theory to improve vegetable intake in overweight and obese adults. This 8-week, randomized, controlled, community-based feeding study with an 8-week follow-up seeks to use repeated exposure to amounts of vegetables recommended by federal guidance to increase the primary outcome of the relative reinforcing value of vegetables compared to a snack food. A community-based design is used to give participants autonomy in choosing their method of exposure. Secondary outcomes include: 1) Determine potential moderators of incentive sensitization of vegetables, including genetic polymorphisms associated with food reinforcement and obesity, 6-n-propylthiouracil tasting status, and delay discounting. 2) Determine whether adding vegetables to the diet results in participants substituting low-energy-dense vegetables for energy-dense foods or whether energy-dense food consumption is independent of vegetable consumption. 3) Determine whether reductions in adiposity are associated with substitution of vegetables in the diet. 4) Determine if markers of bone turnover change. 5) Assess changes in self-reported secondary outcomes measured by questionnaire such as self-efficacy to eat vegetables. The results of this study will provide information about the drivers of individual choice to consume recommended amounts of vegetables. The understanding gained will help increase the effectiveness and sustainability of behavior-based interventions focused on improving vegetable intake. This information may also be used to assist in setting dietary guidance targets for the amounts and types of vegetables Americans can, and should, consume. © 2016",Food reinforcement; Randomized controlled trial; Relative reinforcing value; Self-efficacy; Substitution; Vegetables,"Adiposity; Bone Remodeling; Community-Based Participatory Research; Diet; Feeding Behavior; Food Preferences; Humans; Motivation; Obesity; Overweight; Polymorphism, Single Nucleotide; Propylthiouracil; Reinforcement (Psychology); Research Design; Self Efficacy; Social Support; Vegetables; acid phosphatase tartrate resistant isoenzyme; carboxy terminal telopeptide; carotenoid; glucose; high density lipoprotein cholesterol; osteocalcin; propylthiouracil; triacylglycerol; propylthiouracil; adult; aged; Article; bitter taste; body composition; bone turnover; carrot; cholesterol blood level; controlled study; cucumber; delay discounting; dietary reference intake; fast food; female; follow up; food intake; glucose blood level; human; male; obesity; parallel design; randomized controlled trial; reimbursement; reinforcement; relative reinforcing value; resting metabolic rate; self concept; self report; single nucleotide polymorphism; social attitude; social support; study design; sweet pepper; tomato; triacylglycerol blood level; vegetable; bone remodeling; diet; feeding behavior; food preference; genetics; metabolism; methodology; motivation; obesity; participatory research; physiology; psychology; self concept; single nucleotide polymorphism","U.S. Department of Agriculture, USDA, (3062-51000-51-00D); Agricultural Research Service, USDA ARS",Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84984618848
Rocchini D.; Garzon-Lopez C.X.; Marcantonio M.; Amici V.; Bacaro G.; Bastin L.; Brummitt N.; Chiarucci A.; Foody G.M.; Hauffe H.C.; He K.S.; Ricotta C.; Rizzoli A.; Rosà R.,"Rocchini, Duccio (55953965700); Garzon-Lopez, Carol X. (36650710900); Marcantonio, Matteo (42262345800); Amici, Valerio (35174205800); Bacaro, Giovanni (55883498500); Bastin, Lucy (6701465378); Brummitt, Neil (6506004866); Chiarucci, Alessandro (56265097000); Foody, Giles M. (7007014233); Hauffe, Heidi C. (6701816544); He, Kate S. (24721471700); Ricotta, Carlo (7006221205); Rizzoli, Annapaola (7005546158); Rosà, Roberto (57193601228)",55953965700; 36650710900; 42262345800; 35174205800; 55883498500; 6701465378; 6506004866; 56265097000; 7007014233; 6701816544; 24721471700; 7006221205; 7005546158; 57193601228,Anticipating species distributions: Handling sampling effort bias under a Bayesian framework,2017,Science of the Total Environment,584-585,,,282,290,8,20,10.1016/j.scitotenv.2016.12.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014825767&doi=10.1016%2fj.scitotenv.2016.12.038&partnerID=40&md5=048206dff473404bbec53cb8f310ab9e,"Anticipating species distributions in space and time is necessary for effective biodiversity conservation and for prioritising management interventions. This is especially true when considering invasive species. In such a case, anticipating their spread is important to effectively plan management actions. However, considering uncertainty in the output of species distribution models is critical for correctly interpreting results and avoiding inappropriate decision-making. In particular, when dealing with species inventories, the bias resulting from sampling effort may lead to an over- or under-estimation of the local density of occurrences of a species. In this paper we propose an innovative method to i) map sampling effort bias using cartogram models and ii) explicitly consider such uncertainty in the modeling procedure under a Bayesian framework, which allows the integration of multilevel input data with prior information to improve the anticipation species distributions. © 2016",Anticipation; Bayesian theorem; sampling effort bias; Species distribution modeling; Uncertainty,Biodiversity; Conservation; Decision making; Uncertainty analysis; Anticipation; Bayesian Theorem; Sampling efforts; Species distribution modeling; Uncertainty; Bayesian analysis; invasive species; numerical model; spatial distribution; species inventory; uncertainty analysis; Article; Bayes theorem; controlled study; decision making; environmental factor; Monte Carlo method; population density; population dynamics; sampling effort bias; species distribution; species invasion; statistical bias; uncertainty; anticipation; article; sensitivity analysis; uncertainty; Population distribution,"EU BON; Handling Editor Rocco Scolozzi; Seventh Framework Programme, FP7, (308454); LIFE programme, LIFE; European Commission, EC; Seventh Framework Programme, FP7",Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85014825767
Cook C.N.; Wintle B.C.; Aldrich S.C.; Wintle B.A.,"Cook, Carly N. (24472814200); Wintle, Bonnie C. (16433050100); Aldrich, Stephen C. (56428821800); Wintle, Brendan A. (6507286963)",24472814200; 16433050100; 56428821800; 6507286963,Using Strategic Foresight to Assess Conservation Opportunity,2014,Conservation Biology,28,6,,1474,1483,9,29,10.1111/cobi.12404,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912110588&doi=10.1111%2fcobi.12404&partnerID=40&md5=7c32f49d2d4461dbd738f4df34498282,"The nature of conservation challenges can foster a reactive, rather than proactive approach to decision making. Failure to anticipate problems before they escalate results in the need for more costly and time-consuming solutions. Proactive conservation requires forward-looking approaches to decision making that consider possible futures without being overly constrained by the past. Strategic foresight provides a structured process for considering the most desirable future and for mapping the most efficient and effective approaches to promoting that future with tools that facilitate creative thinking. The process involves 6 steps: setting the scope, collecting inputs, analyzing signals, interpreting the information, determining how to act, and implementing the outcomes. Strategic foresight is ideal for seeking, recognizing, and realizing conservation opportunities because it explicitly encourages a broad-minded, forward-looking perspective on an issue. Despite its potential value, the foresight process is rarely used to address conservation issues, and previous attempts have generally failed to influence policy. We present the strategic foresight process as it can be used for proactive conservation planning, describing some of the key tools in the foresight tool kit and how they can be used to identify and exploit different types of conservation opportunities. Scanning is an important tool for collecting and organizing diverse streams of information and can be used to recognize new opportunities and those that could be created. Scenario planning explores how current trends, drivers of change, and key uncertainties might influence the future and can be used to identify barriers to opportunities. Backcasting is used to map out a path to a goal and can determine how to remove barriers to opportunities. We highlight how the foresight process was used to identify conservation opportunities during the development of a strategic plan to address climate change in New York State. The plan identified solutions that should be effective across a range of possible futures. Illustrating the application of strategic foresight to identify conservation opportunities should provide the impetus for decision makers to explore strategic foresight as a way to support more proactive conservation policy, planning, and management. © 2014 Society for Conservation Biology.",Biodiversity conservation; Conservation policy; Decision making; Environmental futures; Futures research; Strategic planning; Strategic thinking,Climate Change; Conservation of Natural Resources; Decision Making; New York; Planning Techniques; New York [United States]; United States; assessment method; climate change; conservation management; conservation planning; decision making; environmental issue; nature conservation; policy making; strategic approach; climate change; decision making; environmental protection; organization and management; procedures; United States,,Article,Final,,Scopus,2-s2.0-84912110588
Weber E.U.,"Weber, Elke U. (7401971243)",7401971243,What shapes perceptions of climate change? New research since 2010,2016,Wiley Interdisciplinary Reviews: Climate Change,7,1,,125,134,9,220,10.1002/wcc.377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957725491&doi=10.1002%2fwcc.377&partnerID=40&md5=202f08514ce39c618394982db59443cc,"Five years ago, an article in the first issue of WIREs Climate Change reviewed the factors that shape perceptions of climate change. Climate change is an abstract statistical phenomenon, namely a slow and gradual modification of average climate conditions, and thus a difficult phenomenon to detect and assess accurately based on personal experience. The current update of the original article-'new research since 2010'-revisits topics covered in the original contribution: the role of personal experience with climate change, in particular extreme weather events; the effects of psychological distance on climate change perception and action; the effects of political ideology, age, gender, and nationality, and situational influences; and the role of different processing modes in climate change perception and the low level of visceral response (dread) associated with climate change risks. In addition, the current article also addresses new topics since 2010: attribute substitution or the use of weather anomalies-'local' warming or cooling-when judging the likelihood of global warming; the effects of different labels for the phenomenon-global warming versus climate change-on perceptions of its likelihood and importance; and the effect and role of uncertainty about different aspects of climate change and its consequences and how it is communicated on perceptions and actions. © 2016 Wiley Periodicals, Inc.",,Abstracting; Global warming; Risk management; Risk perception; Attribute substitution; Change perceptions; Climate change risks; Extreme weather events; Gradual modifications; Personal experience; Political ideologies; Psychological distance; climate change; climate conditions; environmental factor; global warming; perception; political ideology; psychology; Climate change,"National Science Foundation, NSF, (0951516, 1463122)",Article,Final,,Scopus,2-s2.0-84957725491
Zanni A.M.; Goulden M.; Ryley T.; Dingwall R.,"Zanni, Alberto M (35222804600); Goulden, Murray (26531018100); Ryley, Tim (6507732280); Dingwall, Robert (7005020063)",35222804600; 26531018100; 6507732280; 7005020063,Improving scenario methods in infrastructure planning: A case study of long distance travel and mobility in the UK under extreme weather uncertainty and a changing climate,2017,Technological Forecasting and Social Change,115,,,180,197,17,15,10.1016/j.techfore.2016.10.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002742913&doi=10.1016%2fj.techfore.2016.10.002&partnerID=40&md5=d22105bd6b61c30e2153f0db98fde3e2,"This paper develops a mixed method approach to infrastructure planning through a United Kingdom (UK) case study examining the impact of a changing climate on long distance travel and mobility between London and Glasgow. A novel combination of a qualitative method - Systematic Qualitative Foresight (SQF) - and quantitative simulation using discrete choice stated preference methods is applied. The main dataset is a travel behaviour survey of over 2000 residents of London and Glasgow. Three illustrative SQF-based scenarios are developed incorporating society, technology and climate dimensions. For each scenario, the choice of long-distance travel mode by two groups of respondents generated by cluster analysis is simulated using stated preference survey data to describe the choices likely to be made by actors within each scenario. We demonstrate the importance of considering a wide range of variables when creating instruments for infrastructure planning decisions. Our results show that weather-related disruption has consequences for travel behaviour, with a considerable number of travellers deciding not to travel despite the importance of their trip. However, the vast majority of travellers would still travel. This should be considered by policy makers, and those responsible for transport infrastructure, in order to increase its resilience to extreme weather and demand, and better devise contingency plans to contain, and minimise, the effect of the disruptions on the users. The method described has wider implications for infrastructure planning, particularly in its ability to engage a broader range of stakeholders and to avoid linear models of prediction. By emphasising the creation of a plausible decision space, it offers the possibility of increased robustness and resilience in infrastructure planning. © 2016 Elsevier Inc.",Climate; Discrete choice; Resilience; Scenarios; Technology; Transport,England; Glasgow [Scotland]; London [England]; Scotland; United Kingdom; Climate change; Cluster analysis; Surveys; Technology; Climate; Discrete choice; Resilience; Scenarios; Transport; climate change; discrete choice analysis; extreme event; infrastructure planning; mobility; preference behavior; stakeholder; technological development; travel behavior; Transportation,"EPSRC Horizon Digital Economy Research Hub; Engineering and Physical Sciences Research Council, EPSRC, (EP/G060495/1, EP/G060762/1, EP/G060770/1, EP/G065802/1, EP/M02315X/1); Engineering and Physical Sciences Research Council, EPSRC",Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85002742913
Serdy A.,"Serdy, Andrew (18838764500)",18838764500,Implementing article 28 of the UN fish stocks agreement: The first review of a conservation measure in the South pacific regional fisheries management organisation,2016,Ocean Development and International Law,47,1,,1,28,27,9,10.1080/00908320.2016.1124482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961662047&doi=10.1080%2f00908320.2016.1124482&partnerID=40&md5=859f234b1e8c129678c5ed5d7314006f,"This article assesses the contribution of the 2013 Review of the South Pacific Regional Fisheries Management Organisation’s measure on jack mackerel to effective decision making as mandated by the UN Fish Stocks Agreement. Though positive overall, the review highlights some potential flaws, notably the dilemma that the requirement of an alternative measure equivalent in effect to the one challenged may, if interpreted strictly, lead to a replacement measure just as unacceptable to the state initiating the review. Other issues emerging from the review are the incentive to overreport catch in anticipation of an allocation and a doubtful interpretation of a central provision in the treaty that created the organization. © 2016 Taylor & Francis Group, LLC.",Decision making; RFMOs; UN Fish Stocks Agreement,Pacific Ocean; Pacific Ocean (South); conservation management; decision making; fishery management; Law of the Sea; policy analysis; policy implementation; stock assessment; United Nations,,Article,Final,,Scopus,2-s2.0-84961662047
